COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,INT12M,DEC12M,FEC12M
511194,Estação Transformadora (Particular),STN01S7,AMAPÁ,Metropolitana,Santana,SANTANA,ABC,3152359,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
C18133,Instalacao Transformadora (Companhia),TTG01Y2,,Tartarugalzinho,Amapá,TARTARUGALZINHO,A,3148539,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00100588,Instalacao Transformadora com Chave,STR01P9,,Metropolitana,Macapá,SANTA RITA,ABC,3159439,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
1755571,Instalacao Transformadora com  Chave,SJO01S7,,Metropolitana,Macapá,SANTA RITA,ABC,3158334,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
100194032- X,Instalacao Transformadora com  Chave,STN01S4,AMAPÁ,Metropolitana,Mazagão,SANTANA,A,3165962,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
492397,Instalacao Transformadora (Companhia),STR01F1,,Metropolitana,Macapá,SANTA RITA,ABC,3185291,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
00199570,Instalacao Transformadora com Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,B,3178485,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
C16575,Instalacao Transformadora com Chave,INJ01N2,,Metropolitana,Macapá,PORTO GRANDE,ABC,3174828,25.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
02404374,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3168577,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01789059,Instalacao Transformadora com  Chave,PTG01P2,,Porto Grande,Porto Grande,PORTO GRANDE,B,3146803,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
04503001,Instalacao Transformadora com Chave,INJ01N3,,Metropolitana,Macapá,PORTO GRANDE,ABC,3164436,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SK815,Instalacao Transformadora com Chave,EQT01C8,AMAPÁ,,,EQUATORIAL,ABC,3184135,30.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
03105009,Instalacao Transformadora (Companhia),MCD01W4,,Metropolitana,Macapá,MACAPA - II,B,3163592,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QU327,Instalacao Transformadora com Chave,STR01P3,,Metropolitana,Macapá,SANTA RITA,ABC,3177822,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
105025,Instalacao Transformadora com Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,B,3169657,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
04700159,Instalacao Transformadora com Chave,JAR01F2,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,A,3156986,25.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00190424,Instalacao Transformadora com  Chave,MCD01C1,,Metropolitana,Macapá,MACAPA - II,ABC,3172726,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
204528,Instalacao Transformadora (Companhia),STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,C,3172322,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100182887- X,Instalacao Transformadora com  Chave,TTG01Y1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,A,3149448,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100182902- X,Instalacao Transformadora com Chave,TTG01Y1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,A,3149417,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
5625581,Instalacao Transformadora (Companhia),MCD01C7,,Metropolitana,Macapá,MACAPA - II,B,3179159,25.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
09900390,Instalacao Transformadora com  Chave,CPX01C1,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,B,3144346,5.0000000000,,,,,,0.00000000,0.00000000,,,0,1,4.828829699e-05,8.049391064e-06
SL305,Instalacao Transformadora com  Chave,RIP09P1,,,,SANTANA,AC,3184166,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100173010- X,Instalacao Transformadora com  Chave,AMP01Y2,AMAPÁ,Tartarugalzinho,Amapá,AMAPA,A,3145883,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100178770-X,Instalacao Transformadora com Chave,SNV01N1,,Porto Grande,Pedra Branca,SERRA DO NAVIO,ABC,3174272,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00104289,Instalacao Transformadora com Chave,EQT01C4,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3156608,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
04789315,Estação Transformadora (Particular),JAR01F1,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,ABC,3156934,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00300699,Instalacao Transformadora com Chave,FTC01F3,,Metropolitana,Santana,,ABC,3152546,112.5000000000,,,,,,0.00000000,0.00000000,,,0,1,0.001176160923,0.0007888403242
16542,Instalacao Transformadora com  Chave,CAL01C1,AMAPÁ,Tartarugalzinho,Calçoene,CALCOENE,A,3167097,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
301697,Instalacao Transformadora com  Chave,STN01S3,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3171358,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00190468,Instalacao Transformadora (Companhia),MCD01C5,,Metropolitana,Macapá,MACAPA - II,ABC,3177114,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
613X,Instalacao Transformadora com  Chave,CPX01C1,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,B,3144328,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
103496,Estacao Transformadora com Chave,SJO01S3,,Metropolitana,Macapá,SANTA RITA,ABC,3158046,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100192782- X,Instalacao Transformadora com Chave,INJ01N3,,Metropolitana,Macapá,PORTO GRANDE,A,3164368,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100185371- X,Instalacao Transformadora com Chave,STR01P3,,Metropolitana,Macapá,SANTA RITA,ABC,3159813,75.0000000000,,,,,,0.00000000,0.00000000,,,0,1,4.568527919e-05,3.546993726e-05
00101602,Estacao Transformadora com Chave,EQT01C7,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3172711,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100173047- X,Instalacao Transformadora com  Chave,AMP01Y2,AMAPÁ,Tartarugalzinho,Amapá,AMAPA,B,3145941,5.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.0001683818234,3.935350069e-06
00389760,Estacao Transformadora com Chave,FTC01F2,,Metropolitana,Santana,,ABC,3156213,225.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QT974,Instalacao Transformadora com Chave,MCD01C2,,Metropolitana,Macapá,MACAPA - II,ABC,3174754,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01703051,Instalacao Transformadora com  Chave,PTG01P2,,Porto Grande,Porto Grande,PORTO GRANDE,A,3146639,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
