INSTALACAO_ID,COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,SOBRECARGA,INT12M,DEC12M,FEC12M
1149361.0000000000,58586,Instalacao Transformadora com Chave,CRAC3,CENTRO,ARAPIRACA,CRAÍBAS,ARAPIRACA I,ABC,1148932.0000000000,75.0000000000,,,,0X#(4) AWG CA,2.50568000,0.12027000,2.38541000,4.80,95.20,66,0.880000,1,0.0008316398402,3.987532797e-05
1097543.0000000000,1146637,Instalacao Transformadora com Chave,ODFY4,CENTRO,SANTANA DO IPANEMA,SÃO JOSÉ DA TAPERA,OLHO D' ÁGUA DAS FLORES,B,1097927.0000000000,15.0000000000,,,,1X#1X25(25) MULT,2.21343000,1.03636000,0.97489000,46.82,44.04,25,1.666667,2,0.0002388173176,3.265431292e-05
1215678.0000000000,93881X,Instalacao Transformadora (Companhia),MGIY4,SERTAO,MATRIZ DE CAMARAGIBE,MARAGOGI,MARAGOGI,ABC,1215677.0000000000,45.0000000000,,,,1X#4(4) AWG CA,2.58701000,1.37566000,1.21135000,53.18,46.82,135,3.000000,,,
1174506.0000000000,1243756,Instalacao Transformadora com Chave,BBEY3,METROPOLITANA,MACEIO II,PINHEIRO,BENEDITO BENTES,ABC,1269074.0000000000,75.0000000000,,,,0X#(4) AWG CA,2.14011000,1.01504000,1.12507000,47.43,52.57,55,0.733333,1,0.0001209578136,5.295876254e-05
1011702.0000000000,1114581,Instalacao Transformadora com Chave,TBMY1,METROPOLITANA,MACEIO II,PINHEIRO,TABULEIRO DOS MARTINS,ABC,1011704.0000000000,75.0000000000,,,,0X#(13)CU,4.88533000,1.50499000,2.26611000,30.81,46.39,145,1.933333,3,0.0008100160927,0.00024545624
1010675.0000000000,02488,Instalacao Transformadora com Chave,CDUM5,CENTRO,MACEIO II,PINHEIRO,TABULEIRO DOS MARTINS,ABC,1171798.0000000000,112.5000000000,,,,0X#(4) AWG CA,4.81021000,0.04195000,3.87742000,0.87,80.61,150,1.333333,2,0.0006408624052,0.0002072328294
1165576.0000000000,48095,Instalacao Transformadora com Chave,PEPY1,COD PENEDO,ARAPIRACA,TEOTONIO VILELA,PERI-PERI,ABC,1271795.0000000000,75.0000000000,,,,0X#(4) AWG CA,6.15666000,0.00000000,6.15666000,0.00,100.00,162,2.160000,1,0.0003441211804,0.0001058508706
1114845.0000000000,46381,Instalacao Transformadora com Chave,UPMY5,CENTRO,UNIÃO DOS PALMARES,IBATEGUARA,UNIÃO DOS PALMARES,ABC,1115515.0000000000,45.0000000000,,,,1##4(4) AWG CU,4.33312000,0.54218000,3.67219000,12.51,84.75,75,1.666667,,,
1142946.0000000000,47957,Instalacao Transformadora com Chave,UPMY4,CENTRO,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,ABC,1143598.0000000000,112.5000000000,,,,0X#(4) AWG CA,4.72242000,1.47949000,2.92338000,31.33,61.90,133,1.182222,,,
1031909.0000000000,09177,Instalacao Transformadora com Chave,SMCY4,SERTAO,SÃO MIGUEL DOS CAMPOS,SÃO MIGUEL DOS CAMPOS,SÃO MIGUEL DOS CAMPOS,ABC,1032034.0000000000,75.0000000000,,,,0X#(34) CA,10.16136000,0.72910000,8.62798000,7.18,84.91,276,3.680000,,,
1269890.0000000000,1175998,Instalacao Transformadora com Chave,SRRY3,CENTRO,,,TABULEIRO DOS MARTINS,ABC,1266010.0000000000,75.0000000000,75.0000000000,75.0000000000,,0X#(4) AWG CA,0.50669000,0.34839000,0.10526000,68.76,20.77,4,0.053333,,,
1038854.0000000000,17695,Instalacao Transformadora com Chave,MGIY2,SERTAO,MATRIZ DE CAMARAGIBE,MARAGOGI,MARAGOGI,AC,1038855.0000000000,10.0000000000,15.0000000000,15.0000000000,,1X#4(4) AWG CU,0.58008000,0.00000000,0.54358000,0.00,93.71,7,0.700000,,,
1165905.0000000000,39999,Instalacao Transformadora com Chave,ARDM4,SERTAO,ARAPIRACA,ARAPIRACA I,ARAPIRACA II,ABC,1165912.0000000000,75.0000000000,,,,3X#1/0(1/0) AWG CA,5.57800000,0.00000000,5.57800000,0.00,100.00,181,2.413333,2,0.0004182472136,0.0002609411582
1170168.0000000000,1221752,Instalacao Transformadora (Companhia),CDUM4,CENTRO,MACEIO I,SATUBA,TABULEIRO DOS MARTINS,ABC,1170193.0000000000,45.0000000000,,,,3X#35(35) MULT,1.83628000,1.83628000,0.00000000,100.00,0.00,60,1.333333,,,
1271472.0000000000,420153852P,Estação Transformadora (Particular),PCAY5,METROPOLITANA,,,POLO,ABC,1172916.0000000000,112.5000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1092135.0000000000,1149806,Instalacao Transformadora com Chave,ODFY7,CENTRO,SANTANA DO IPANEMA,JACARÉ DOS HOMENS,OLHO D' ÁGUA DAS FLORES,AC,1092505.0000000000,10.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1270509.0000000000,1204335A,Estação Transformadora (Particular),PCAY6,METROPOLITANA,,,POLO,ABC,1257461.0000000000,75.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1023279.0000000000,05877,Estacao Transformadora com Chave,CTOY2,METROPOLITANA,MACEIO II,PINHEIRO,CENTRO,ABC,1023121.0000000000,45.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1261126.0000000000,389727,Instalacao Transformadora com Chave,TDBY4,METROPOLITANA,MACEIO II,PINHEIRO,TRAPICHE DA BARRA,A,1172678.0000000000,5.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1261430.0000000000,430086082,Estacao Transformadora com Chave,RLUY4,METROPOLITANA,RIO LARGO,RIO LARGO,RIO LARGO,ABC,1058102.0000000000,75.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1070518.0000000000,22429,Estacao Transformadora com Chave,JGMY2,SERTAO,UNIÃO DOS PALMARES,JOAQUIM GOMES,JOAQUIM GOMES,ABC,1070515.0000000000,112.5000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1097198.0000000000,1141864,Instalacao Transformadora com Chave,ODFY4,CENTRO,SANTANA DO IPANEMA,OLHO DÁGUA DAS FLORES,OLHO D' ÁGUA DAS FLORES,A,1097197.0000000000,15.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1051162.0000000000,20849,Estacao Transformadora com Chave,JGMY3,SERTAO,RIO LARGO,FLEXEIRAS,JOAQUIM GOMES,A,1051158.0000000000,5.0000000000,5.0000000000,5.0000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
1163341.0000000000,13534,Instalacao Transformadora com Chave,ARDM8,SERTAO,ARAPIRACA,ARAPIRACA I,ARAPIRACA II,C,1169969.0000000000,37.5000000000,,,,1X#25(25) MULT,3.92994000,0.28210000,3.64784000,7.18,92.82,80,2.133333,1,0,0
1175915.0000000000,48209,Instalacao Transformadora com Chave,JGMY3,SERTAO,RIO LARGO,FLEXEIRAS,JOAQUIM GOMES,ABC,1172818.0000000000,75.0000000000,75.0000000000,75.0000000000,,3X#25(25) MULT,5.33283000,5.22533000,0.00000000,97.98,0.00,167,2.226667,,,
1022099.0000000000,07887,Instalacao Transformadora com Chave,PJAY3,METROPOLITANA,MACEIO II,PINHEIRO,PAJUÇARA,ABC,1022100.0000000000,112.5000000000,112.5000000000,112.5000000000,,3X#4(4) AWG CU,6.68315000,0.00000000,4.84059000,0.00,72.43,185,1.644444,,,
1167226.0000000000,42554,Instalacao Transformadora com Chave,PMIY7,CENTRO,PALMEIRA DOS ÍNDIOS,PALMEIRA DOS INDIOS,PALMEIRA DOS ÍNDIOS,ABC,1232573.0000000000,75.0000000000,,,,1X#4(4)4C AWG CA,5.40303000,0.74473000,4.50377000,13.78,83.36,146,1.946667,2,0.001384528053,0.0002028101172
1099626.0000000000,29449,Instalacao Transformadora com Chave,MTBY2,SERTAO,PENEDO,PORTO REAL DO COLEGIO,MARITUBA,ABC,1265765.0000000000,45.0000000000,,,,1X#4(4) AWG CU,7.47145000,0.13800000,7.26228000,1.85,97.20,143,3.177778,1,0.0008467141642,9.280076329e-05
1177235.0000000000,39175,Instalacao Transformadora com Chave,MBDY3,CENTRO,SÃO MIGUEL DOS CAMPOS,ANADIA,MARIBONDO,ABC,1151358.0000000000,30.0000000000,,,,1X#35(35) MULT,2.24677000,0.91198000,1.33479000,40.59,59.41,53,1.766667,,,
1243515.0000000000,1059149,Instalacao Transformadora com Chave,PEPY6,COD PENEDO,ARAPIRACA,CAMPO ALEGRE,PERI-PERI,ABC,1272670.0000000000,112.5000000000,,,,3X#35(35) MULT,1.53516000,1.53516000,0.00000000,100.00,0.00,51,0.453333,2,0.0001081089335,5.039505472e-05
1092816.0000000000,34456,Instalacao Transformadora com Chave,JDHY1,CENTRO,SANTANA DO IPANEMA,BELO MONTE,JACARÉ DOS HOMENS,AC,1092824.0000000000,15.0000000000,,,,1X#16(16)MULT,1.18686000,0.44685000,0.74001000,37.65,62.35,24,1.600000,,,
1084369.0000000000,83526,Instalacao Transformadora com Chave,CPEY1,SERTAO,PENEDO,PENEDO,CORURIPE,ABC,1273453.0000000000,75.0000000000,,,,1X#4(4) AWG CA,8.62425000,1.48944000,7.05906000,17.27,81.85,209,2.786667,1,0.0002229351125,0.000114
1173960.0000000000,42699,Instalacao Transformadora com Chave,BBEY3,METROPOLITANA,MACEIO II,PINHEIRO,BENEDITO BENTES,ABC,1011474.0000000000,75.0000000000,,,,0X#(4) AWG CA,7.65756000,7.58499000,0.07257000,99.05,0.95,215,2.866667,,,
1058079.0000000000,06936,Instalacao Transformadora com Chave,RLUY4,METROPOLITANA,RIO LARGO,RIO LARGO,RIO LARGO,ABC,1058080.0000000000,112.5000000000,112.5000000000,112.5000000000,,0X#(4) AWG CA,5.71549000,0.91958000,3.56225000,16.09,62.33,174,1.546667,,,
1268735.0000000000,1203568,Instalacao Transformadora com Chave,SDIY7,SERTAO,,,,A,1268734.0000000000,15.0000000000,,,,1##35(35) MULT,0.98913000,0.98913000,0.00000000,100.00,0.00,3,0.200000,,,
1193781.0000000000,15810,Instalacao Transformadora com Chave,DMGY4,COD DELMIRO GOLVEIA,DELMIRO GOUVEIA,DELMIRO GOUVEIA,DELMIRO GOUVEIA,ABC,1207153.0000000000,75.0000000000,,,,3X#35(35) MULT,5.23069000,4.71284000,0.48900000,90.10,9.35,149,1.986667,,,
1030948.0000000000,1053566,Instalacao Transformadora com Chave,SMCY1,SERTAO,SÃO MIGUEL DOS CAMPOS,BOCA DA MATA,SÃO MIGUEL DOS CAMPOS,ABC,1030903.0000000000,75.0000000000,,,,3##35(35) MULT,6.83728000,0.47804000,5.49398000,6.99,80.35,191,2.546667,4,0.002349806709,0.0004964662907
1267516.0000000000,1168703,Instalacao Transformadora com Chave,SDIY5,SERTAO,,,SANTANA DO IPANEMA,ABC,1230610.0000000000,75.0000000000,,,,0X#(4) AWG CA,2.75626000,1.10258000,1.65368000,40.00,60.00,77,1.026667,,,
1244834.0000000000,1137875,Instalacao Transformadora com Chave,UPMY1,CENTRO,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,ABC,1240690.0000000000,75.0000000000,,,,0X#(4) AWG CA,6.30468000,2.16457000,4.14011000,34.33,65.67,171,2.280000,,,
1203869.0000000000,38586,Instalacao Transformadora com Chave,ODFY4,CENTRO,SANTANA DO IPANEMA,CARNEIROS,OLHO D' ÁGUA DAS FLORES,ABC,1222213.0000000000,75.0000000000,,,,0X#(34) CA,8.04351000,1.52057000,5.78615000,18.90,71.94,198,2.640000,2,0.0008966999436,0.0003090470252
1042092.0000000000,18509,Instalacao Transformadora com Chave,MGIY2,SERTAO,MATRIZ DE CAMARAGIBE,MARAGOGI,MARAGOGI,ABC,1042091.0000000000,30.0000000000,30.0000000000,30.0000000000,,1X#4(4) AWG CU,3.83899000,0.00000000,3.56859000,0.00,92.96,88,2.933333,2,0.0003791037095,9.713136292e-05
1122722.0000000000,43813,Instalacao Transformadora com Chave,CPTY4,COD PALMEIRA DOS INDIOS,UNIÃO DOS PALMARES,JUNDIÁ,CAMPESTRE,A,1122714.0000000000,10.0000000000,10.0000000000,10.0000000000,,1X#4(4) AWG CU,0.22155000,0.00000000,0.22155000,0.00,100.00,2,0.200000,,,
1267420.0000000000,1174827,Instalacao Transformadora com Chave,PMIY5,CENTRO,,,PALMEIRA DOS ÍNDIOS,ABC,1267424.0000000000,45.0000000000,,,,3X#35(35) MULT,1.48174000,0.68842000,0.00000000,46.46,0.00,23,0.511111,,,
1008176.0000000000,02133,Instalacao Transformadora com Chave,TBMY2,METROPOLITANA,MACEIO II,PINHEIRO,TABULEIRO DOS MARTINS,ABC,1240386.0000000000,75.0000000000,75.0000000000,75.0000000000,,0X#(54) CA,1.04232000,0.00000000,0.03698000,0.00,3.55,70,0.933333,,,
1016670.0000000000,03275,Instalacao Transformadora com Chave,PNOY6,METROPOLITANA,MACEIO II,PINHEIRO,PINHEIRO,ABC,1225628.0000000000,75.0000000000,,,,0X#(4) AWG CA,2.52823000,1.58811000,0.94012000,62.82,37.18,69,0.920000,3,0.000286722839,0.0001245442947
1135847.0000000000,55323,Instalacao Transformadora com Chave,PMIY5,CENTRO,PALMEIRA DOS ÍNDIOS,BELÉM,PALMEIRA DOS ÍNDIOS,ABC,1135520.0000000000,75.0000000000,,,,1X#4(4) AWG CA,12.36310000,7.23679000,5.12631000,58.54,41.46,340,4.533333,1,0.0001017418962,0.000223608563
1229155.0000000000,1229155X,Instalacao Transformadora com Chave,RLUY2,METROPOLITANA,RIO LARGO,MESSIAS,RIO LARGO,A,1229154.0000000000,15.0000000000,,,,1X#35(35) MULT,1.33619000,1.33619000,0.00000000,100.00,0.00,26,1.733333,,,
