PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
RAMAL,6001032889,PEL1-110,144000115,,C2,HIERARQUIA,SUL,PELOTAS,TERMO T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000115,144000115-RM-AGO-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,5.307
RAMAL,6001032872,PEL1-110,144000115,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000115,144000115-RM-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,5.307
RAMAL,6001032889,PEL1-110,144000115,,C2,HIERARQUIA,SUL,PELOTAS,TERMO T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000115,144000115-RM-AGO-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,5.307
RAMAL,6001032872,PEL1-110,144000115,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000115,144000115-RM-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,5.307
RAMAL,6001032889,PEL1-110,144000115,,C2,HIERARQUIA,SUL,PELOTAS,TERMO T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000115,144000115-RM-AGO-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,5.307
RAMAL,6000979300,VAS-5,205500661,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,23 kV,2025,SIM,RIO GRANDE DO SUL,205500661,205500661-RM-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VASCONCELOS,1.207
RAMAL,6000931444,PAL8-84,149044963,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149044963,149044963-RM-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 8,2.148
RAMAL,6000931444,PAL8-84,149044963,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149044963,149044963-RM-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 8,2.148
RAMAL,4496061375,ATS-5,238002632,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,238002632,238002632-RM-SET-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,ATLANTIDA SUL,0.642
RAMAL,6001065033,ATS-5,238002632,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,238002632,238002632-RM-SET-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,ATLANTIDA SUL,0.642
